NAME, Part, Lon, Lat
Midas, 1, -79.02593, 41.35581
Midas, 1, -79.03223, 41.35771
Midas, 1, -79.03893, 41.3572
Midas, 1, -79.05114, 41.35131
Midas, 1, -79.05742, 41.35111
Midas, 1, -79.06333, 41.35002
Midas, 1, -79.06933, 41.35171
Midas, 1, -79.07513, 41.35461
Midas, 1, -79.08103, 41.35301
Midas, 1, -79.08953, 41.34321
Midas, 1, -79.09531, 41.34163
Midas, 1, -79.09372, 41.41621
Midas, 1, -79.09354, 41.42321
Midas, 1, -79.06524, 41.42311
Midas, 1, -79.06373, 41.45321
Midas, 1, -78.97663, 41.45172
Midas, 1, -78.97663, 41.43691
Midas, 1, -78.96253, 41.43701
Midas, 1, -78.95893, 41.43701
Midas, 1, -78.95873, 41.45152
Midas, 1, -78.95763, 41.5277
Midas, 1, -78.95622, 41.62391
Forge, 1, -78.41931, 41.6023
Forge, 1, -78.41951, 41.61701
Forge, 1, -78.2036, 41.618
Forge, 1, -78.202, 41.61651
Forge, 1, -78.11831, 41.53819
Forge, 1, -78.0976, 41.5188
Forge, 1, -78.09301, 41.5145
Forge, 1, -78.0512, 41.4754
Forge, 1, -77.9894, 41.47479
Forge, 1, -77.9892, 41.45442
Forge, 1, -77.9885, 41.36721
Forge, 1, -78.0472, 41.2833
Forge, 1, -78.0888, 41.22381
Forge, 1, -78.0936, 41.21691
Forge, 1, -78.15149, 41.22241
Forge, 1, -78.2342, 41.2302
Forge, 1, -78.2366, 41.2304
Forge, 1, -78.2351, 41.29801
Forge, 1, -78.24011, 41.32321
Forge, 1, -78.2548, 41.32371
Forge, 1, -78.2555, 41.40492
Forge, 1, -78.42001, 41.40492
Forge, 1, -78.41962, 41.5123
Forge, 1, -78.41931, 41.6023
Bellows, 1, -76.81376, 41.5901
Bellows, 1, -76.77174, 41.46899
Bellows, 1, -76.74965, 41.4054
Bellows, 1, -76.69005, 41.367
Bellows, 1, -76.62395, 41.32449
Bellows, 1, -76.60295, 41.311
Bellows, 1, -76.59235, 41.3042
Bellows, 1, -76.56605, 41.299
Bellows, 1, -76.52025, 41.28999
Bellows, 1, -76.44764, 41.2756
Bellows, 1, -76.45994, 41.26559
Bellows, 1, -76.55405, 41.189
Bellows, 1, -76.58975, 41.15991
Bellows, 1, -76.59255, 41.1577
Bellows, 1, -76.59895, 41.15739
Bellows, 1, -76.64085, 41.15571
Bellows, 1, -76.67865, 41.15402
Bellows, 1, -76.69545, 41.15962
Bellows, 1, -76.73246, 41.17201
Bellows, 1, -76.78447, 41.1756
Bellows, 1, -76.78917, 41.1759
Bellows, 1, -76.85636, 41.16342
Bellows, 1, -76.87075, 41.1592
Bellows, 1, -76.88566, 41.15492
Bellows, 1, -76.88955, 41.1498
Bellows, 1, -76.89126, 41.14671
Bellows, 1, -76.89576, 41.1382
Bellows, 1, -76.95835, 41.14842
Bellows, 1, -76.97758, 41.08981
Bellows, 1, -77.06397, 41.08311
Bellows, 1, -77.07297, 41.08261
Bellows, 1, -77.11097, 41.07081
Bellows, 1, -77.11707, 41.0689
Bellows, 1, -77.14417, 41.06881
Bellows, 1, -77.16446, 41.06871
Bellows, 1, -77.17737, 41.08161
Bellows, 1, -77.18007, 41.08421
Bellows, 1, -77.24928, 41.15332
Bellows, 1, -77.25467, 41.15861
Bellows, 1, -77.26737, 41.17131
Bellows, 1, -77.27027, 41.1742
Bellows, 1, -77.27308, 41.177
Bellows, 1, -77.27837, 41.18101
Bellows, 1, -77.29099, 41.1844
Bellows, 1, -77.29347, 41.19032
Bellows, 1, -77.29009, 41.1957
Bellows, 1, -77.31788, 41.21691
Bellows, 1, -77.32018, 41.21861
Bellows, 1, -77.32596, 41.21981
Bellows, 1, -77.33199, 41.21961
Bellows, 1, -77.33806, 41.2208
Bellows, 1, -77.34417, 41.22051
Bellows, 1, -77.34908, 41.2246
Bellows, 1, -77.35188, 41.22991
Bellows, 1, -77.35819, 41.2311
Bellows, 1, -77.36367, 41.23361
Bellows, 1, -77.36968, 41.2334
Bellows, 1, -77.39508, 41.25001
Bellows, 1, -77.40038, 41.25451
Bellows, 1, -77.40838, 41.26422
Bellows, 1, -77.41356, 41.2684
Bellows, 1, -77.41948, 41.27041
Bellows, 1, -77.42468, 41.27342
Bellows, 1, -77.42708, 41.2791
Bellows, 1, -77.43237, 41.28391
Bellows, 1, -77.43887, 41.2853
Bellows, 1, -77.44447, 41.28771
Bellows, 1, -77.44898, 41.2921
